,cons_growth,exp_cons_growth,filtered_state
1994-12-31,0.004538851137615207,0.004692126079800024,0.09583257367608718
1995-03-31,0.005083680248331834,0.004696362477257816,0.09625621342186635
1995-06-30,0.0069443775425162,0.0047966704817178595,0.10628701386787076
1995-09-30,0.004043517549386255,0.004739874740781268,0.1006074397742116
1995-12-31,0.0029447188610109976,0.004630066387203784,0.08962660441646325
1996-03-31,0.006782305217209128,0.004726524057360092,0.09927237143209397
1996-06-30,0.005019406274783922,0.004725074636752792,0.09912742937136401
1996-09-30,0.0033001349998320606,0.004634686805805756,0.0900886462766604
1996-12-31,0.0030189306760419754,0.004535929961572587,0.08021296185334356
1997-03-31,0.003578399000871091,0.004472914419099716,0.07391140760605631
1997-06-30,0.0039202044469091035,0.004431918591418724,0.06981182483795721
1997-09-30,0.010553912858630277,0.004737279020032179,0.10034786769930265
1997-12-31,0.007150659828030648,0.00484546609363499,0.1111665750595838
1998-03-31,0.008663024440349165,0.0050245618609931035,0.12907615179539514
1998-06-30,0.010384820796704108,0.005280553220828491,0.1546752877789339
1998-09-30,0.008023037112582898,0.005396690027853363,0.16628896848142105
1998-12-31,0.004964052631515337,0.005346449426248112,0.16126490832089596
1999-03-31,0.0067549424319981455,0.005392398386669428,0.16585980436302758
1999-06-30,0.006868765237545205,0.005441093261617576,0.17072929185784239
1999-09-30,0.006331338447250978,0.005458618924264462,0.17248185812253103
1999-12-31,0.011979347814474739,0.005767443088304066,0.20336427452649142
2000-03-31,-0.004883812210084937,0.00518179398074422,0.1447993637705068
2000-06-30,0.010729662101762738,0.005444869345573681,0.17110690025345296
2000-09-30,0.005450567981649002,0.00541652284484173,0.16827225018025782
2000-12-31,0.006248683368642816,0.005431451699918606,0.16976513568794543
2001-03-31,0.00011524907355031644,0.005127718821603392,0.13939184785642397
2001-06-30,6.085413208456458e-05,0.004841982864315979,0.11081825212768273
2001-09-30,-0.0005618841553962639,0.004543577148523732,0.08097768054845801
2001-12-31,0.0021956348856733143,0.004408426886806021,0.06746265437668689
2002-03-31,0.0029686501277716992,0.004322571043720472,0.058877070068132045
2002-06-30,0.0018822269933793656,0.004186334898200367,0.04525345551612155
2002-09-30,0.0005382083817888628,0.003989830494022461,0.025603015098330864
2002-12-31,0.005175158886929765,0.004046930665127965,0.031313032208881236
2003-03-31,-0.002701531990159989,0.0036921993377434796,-0.004160100529567216
2003-06-30,0.0030835742107120367,0.003661376179416226,-0.007242416362292613
2003-09-30,0.006846250626099337,0.003827526978361051,0.00937266353218989
2003-12-31,0.0035422342704860554,0.003811183328435166,0.007738298539601389
2004-03-31,0.00829748747003034,0.004042225029612145,0.030842468657299303
2004-06-30,0.003245127584916574,0.003995782166548489,0.02619818235093372
2004-09-30,0.004894106108557228,0.0040379193069204995,0.030411896388134733
2004-12-31,0.006296976631499973,0.004149820863506314,0.04160205204671612
2005-03-31,0.004450801760421896,0.004158444305433763,0.042464396239461084
2005-06-30,0.00543371122222025,0.00421737978844615,0.04835794454069979
2005-09-30,0.003757769982389636,0.004185482838212772,0.045168249517361925
2005-12-31,0.004851816856532576,0.004212430265256505,0.04786299222173525
2006-03-31,0.004587541901589276,0.0042238447746698795,0.04900444316307272
2006-06-30,0.003262328809972015,0.004165846857427652,0.04320465143885
2006-09-30,0.0014619054653453034,0.004018582924914396,0.028478258187524343
2006-12-31,0.006648748747767996,0.004150027145171657,0.04162268021325056
2007-03-31,0.0003070723376565887,0.003944040716806374,0.021024037376722208
2007-06-30,-0.0009510328340387453,0.00368701510452496,-0.004678523851419206
2007-09-30,0.0004143087424850478,0.0035183111093500096,-0.021548923368914258
2007-12-31,-0.0022633652012995498,0.0032224963518547077,-0.05113039911844441
2008-03-31,0.0020857125102420326,0.0031721832436806667,-0.05616170993584853
2008-06-30,-0.0004698872768615914,0.0029929683749112938,-0.0740831968127858
2008-09-30,-0.007536838678949387,0.0024600508310128684,-0.12737495120262837
2008-12-31,-0.006879800718408546,0.001997679300384265,-0.17361210426548873
2009-03-31,-0.004528132670865936,0.0016887810855595606,-0.20450192574795914
2009-06-30,-0.006643867907803358,0.0012914809291797924,-0.24423194138593596
2009-09-30,-0.001416243590022681,0.0011921351510062895,-0.25416651920328626
2009-12-31,-0.0007619484572396473,0.001133481929546369,-0.2600318413492783
2010-03-31,0.0033394309765379937,0.0012912505529607606,-0.24425497900783913
2010-06-30,0.0035152864747276524,0.001447314968151664,-0.2286485374887488
2010-09-30,0.002792611143736412,0.0015552587853200955,-0.21785415577190564
2010-12-31,0.005167922206245734,0.001778818293944705,-0.1954982049094447
2011-03-31,0.0032978531518841336,0.0018902106599871548,-0.1843589683051997
2011-06-30,0.00081098302166005,0.001865179436106129,-0.18686209069330229
2011-09-30,0.0010945989873776263,0.0018565514515813814,-0.18772488914577706
2011-12-31,-0.0018872852613869284,0.0016940886983014584,-0.20397116447376937
2012-03-31,-0.004901269521148777,0.0013866706275963636,-0.23471297154427884
2012-06-30,-0.0009630169922560938,0.0013042735056550913,-0.24295268373840606
2012-09-30,-0.001443728205353878,0.0012026277143766418,-0.253117262866251
2012-12-31,-0.0017168785592160951,0.0010938014845865533,-0.26399988584525985
2013-03-31,-0.0003074060567125336,0.0010654266550105362,-0.2668373688028616
2013-06-30,-0.00026370721755597515,0.001041259348278284,-0.2692540994760868
2013-09-30,0.0015647373747769144,0.0011134397666376116,-0.26203605764015403
2013-12-31,0.00551587665147979,0.0013852957342140309,-0.2348504608825121
2014-03-31,0.0018521702395495332,0.0014487859329488932,-0.22850144100902586
2014-06-30,0.0045696133254962135,0.0016486564561303471,-0.2085143886908805
2014-09-30,0.0053184858255495016,0.0018736130930020816,-0.18601872500370703
2014-12-31,0.007712569574517936,0.002207139074597735,-0.15266612684414171
2015-03-31,0.0010128200571868362,0.0021708424189584687,-0.15629579240806832
2015-06-30,0.003494436839651449,0.0022655512021188783,-0.1468249140920274
2015-09-30,0.0030163993508605103,0.0023290132309010773,-0.14047871121380745
2015-12-31,0.002317342275588885,0.0023519235773950876,-0.13818767656440645
2016-03-31,0.0009893080987692926,0.0023044876224394576,-0.14293127205996942
2016-06-30,0.006595379738217222,0.002550629925572514,-0.11831704174666378
2016-09-30,0.0019389875357900266,0.0025387592648122488,-0.1195041078226903
2016-12-31,0.0038738255714494407,0.002627903586500879,-0.11058967565382728
2017-03-31,0.00345971158715086,0.0026894929448496156,-0.10443073981895364
